average movement in: (-1, 0) => 0.0
average movement in: (0, 1) => 5.6749153703354365
average movement in: (1, 2) => 5.926683893169609
average movement in: (2, 3) => 5.966951779787934
average movement in: (3, 4) => 6.1269746964379195
average movement in: (4, 5) => 6.241084975017156
average movement in: (5, 6) => 5.89644991640331
average movement in: (6, 7) => 6.446685349511086
average movement in: (7, 8) => 6.5273857174367995
average movement in: (8, 9) => 6.89520869488395
average movement in: (9, 10) => 7.174521248139716
average movement in: (10, 11) => 7.042983205109419
average movement in: (11, 12) => 7.240769179376901
average movement in: (12, 13) => 7.044709577145868
average movement in: (13, 14) => 6.8055834248685185
average movement in: (14, 15) => 6.327525702505657
average movement in: (15, 16) => 6.557899161595697
average movement in: (16, 17) => 7.010040990266086
average movement in: (17, 18) => 6.304909096273304
average movement in: (18, 19) => 6.137543040512546
average movement in: (19, 20) => 6.058104983121963
average movement in: (20, 21) => 6.742223968595084
average movement in: (21, 22) => 6.053854137894852
average movement in: (22, 23) => 6.717639347531191
average movement in: (23, 24) => 6.216308537414485
average movement in: (24, 25) => 6.548135594064621
average movement in: (25, 26) => 6.087797924940819
average movement in: (26, 27) => 5.985196696389737
average movement in: (27, 28) => 6.119838838095644
average movement in: (28, 29) => 5.798092314189034
average movement in: (29, 30) => 5.680710079471286
average movement in: (30, 31) => 5.665378926087454
average movement in: (31, 32) => 5.6712586438630925
average movement in: (32, 33) => 5.125376490683295
average movement in: (33, 34) => 5.451889665315196
average movement in: (34, 35) => 5.808517662318592
average movement in: (35, 36) => 6.040072658006948
average movement in: (36, 37) => 5.530015196889947
average movement in: (37, 38) => 5.368223999919037
average movement in: (38, 39) => 5.3811501342425005
average movement in: (39, 40) => 5.199311529619729
average movement in: (40, 41) => 4.737785760475842
average movement in: (41, 42) => 4.5693543896879785
average movement in: (42, 43) => 4.371558616538393
average movement in: (43, 44) => 4.891975681650849
average movement in: (44, 45) => 4.183144239475367
average movement in: (45, 46) => 4.189775364482731
average movement in: (46, 47) => 4.145087077734738
average movement in: (47, 48) => 3.947948863440532
average movement in: (48, 49) => 3.8570472829136606
average movement in: (49, 50) => 4.201414896530635
average movement in: (50, 51) => 4.171512082499452
average movement in: (51, 52) => 4.399754333365771
average movement in: (52, 53) => 4.032636295433743
average movement in: (53, 54) => 3.988665173215636
average movement in: (54, 55) => 4.1334627699577755
average movement in: (55, 56) => 3.726040782672224
average movement in: (56, 57) => 3.558497875231305
average movement in: (57, 58) => 3.8001983380998956
average movement in: (58, 59) => 4.0281888796765015
average movement in: (59, 60) => 3.1490751820915093
average movement in: (60, 61) => 3.788582366553062
average movement in: (61, 62) => 2.8945134105961876
average movement in: (62, 63) => 3.1721542174705037
average movement in: (63, 64) => 3.7016295799773995
average movement in: (64, 65) => 3.28297455091723
average movement in: (65, 66) => 2.9010490159635514
average movement in: (66, 67) => 2.470052233347185
average movement in: (67, 68) => 2.6859086094153635
average movement in: (68, 69) => 2.8744793019956365
average movement in: (69, 70) => 2.184657543522696
average movement in: (70, 71) => 2.779079916885064
average movement in: (71, 72) => 2.751573625244204
average movement in: (72, 73) => 2.3085562695746646
average movement in: (73, 74) => 2.535884769736956
average movement in: (74, 75) => 2.4389297751315997
average movement in: (75, 76) => 2.032346131654777
average movement in: (76, 77) => 2.0203188655675213
average movement in: (77, 78) => 2.4252291000914026
average movement in: (78, 79) => 1.818024676197879
average movement in: (79, 80) => 2.027499560295428
average movement in: (80, 81) => 2.2661032250134334
average movement in: (81, 82) => 1.8548497419833347
average movement in: (82, 83) => 1.8136152218063888
average movement in: (83, 84) => 1.4548898140511273
average movement in: (84, 85) => 1.3779761672185094
average movement in: (85, 86) => 1.5756962862948478
average movement in: (86, 87) => 1.5082436311277954
average movement in: (87, 88) => 1.4362092138597005
average movement in: (88, 89) => 1.3646741144548602
average movement in: (89, 90) => 1.2980456763941992
average movement in: (90, 91) => 1.2343774023220346
average movement in: (91, 92) => 1.1565509622381027
average movement in: (92, 93) => 1.3367683182793477
average movement in: (93, 94) => 1.266688895914474
average movement in: (94, 95) => 0.9393733624265791
average movement in: (95, 96) => 0.8661197514770841
average movement in: (96, 97) => 0.7928286202960476
average movement in: (97, 98) => 0.7321654617324594
average movement in: (98, 99) => 0.10739469226934605
